time,description,type,user,remarks
12:04:32,login,user access,Sgmjclcz,STATUS success
12:30:38,login,user access,Sgmjclcz,STATUS success
13:27:35,logout,user access,nFlbRALT,STATUS success
14:19:21,logout,user access,nFlbRALT,STATUS success
14:44:07,login,user access,Sgmjclcz,STATUS success
15:26:52,logout,user access,nFlbRALT,STATUS success
16:08:58,logout,user access,nFlbRALT,STATUS success
16:23:12,login,user access,Sgmjclcz,STATUS success
16:25:51,logout,user access,nFlbRALT,STATUS success
09:55:49,login,user access,Sgmjclcz,STATUS success
10:45:56,logout,user access,nFlbRALT,STATUS success
11:26:11,login,user access,Sgmjclcz,STATUS success
11:53:50,login,user access,AHFiJncv,STATUS failure
12:35:27,login,user access,AHFiJncv,STATUS failure
12:41:05,logout,user access,nFlbRALT,STATUS success
12:50:21,login,user access,AHFiJncv,STATUS failure
13:40:10,login,user access,AHFiJncv,STATUS failure
14:27:50,login,user access,Sgmjclcz,STATUS success
14:51:37,logout,user access,nFlbRALT,STATUS success
15:39:08,login,user access,AHFiJncv,STATUS failure
16:33:23,login,user access,Sgmjclcz,STATUS success
09:07:09,login,user access,AHFiJncv,STATUS failure
09:28:56,logout,user access,nFlbRALT,STATUS success
09:43:46,login,user access,AHFiJncv,STATUS failure
10:20:46,login,user access,Sgmjclcz,STATUS success
11:03:30,logout,user access,nFlbRALT,STATUS success
11:20:09,login,user access,Sgmjclcz,STATUS success
12:05:08,login,user access,Sgmjclcz,STATUS success
12:55:31,logout,user access,nFlbRALT,STATUS success
13:52:38,logout,user access,nFlbRALT,STATUS success
14:36:16,login,user access,Sgmjclcz,STATUS success
15:02:44,login,user access,AHFiJncv,STATUS failure
16:00:24,login,user access,AHFiJncv,STATUS failure
16:30,login,user access,AHFiJncv,STATUS failure
16:55:57,login,user access,Sgmjclcz,STATUS success
16:59:16,login,user access,Sgmjclcz,STATUS success
09:06:41,logout,user access,nFlbRALT,STATUS success
09:14:24,logout,user access,nFlbRALT,STATUS success
09:37:51,login,user access,Sgmjclcz,STATUS success
10:33:08,logout,user access,nFlbRALT,STATUS success
10:45:57,login,user access,AHFiJncv,STATUS failure
11:00:34,logout,user access,nFlbRALT,STATUS success
11:17:10,login,user access,AHFiJncv,STATUS failure
11:32:48,login,user access,Sgmjclcz,STATUS success
12:19:07,login,user access,Sgmjclcz,STATUS success
12:26:29,login,user access,Sgmjclcz,STATUS success
12:50:16,logout,user access,nFlbRALT,STATUS success
12:52:28,login,user access,AHFiJncv,STATUS failure
13:32:55,logout,user access,nFlbRALT,STATUS success
13:40:39,login,user access,Sgmjclcz,STATUS success
13:55:37,logout,user access,nFlbRALT,STATUS success
14:36:24,login,user access,AHFiJncv,STATUS failure
15:28:04,logout,user access,nFlbRALT,STATUS success
16:16:53,login,user access,AHFiJncv,STATUS failure
