time,description,type,user,remarks
13:12:26,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
13:25:13,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
14:18:29,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
15:01:23,logout,user access,yySthMsH,STATUS success
15:35:02,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
16:25:03,logout,user access,BKVwfCEB,STATUS success
9:09:53,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
9:31:51,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
9:51:16,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
10:39:32,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
11:38:20,logout,user access,BKVwfCEB,STATUS success
12:07:58,login,user access,yiGkACiW,"STATUS success INPUT ""yiGkACiW""); DROP TABLE materials;"""
12:26:14,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
12:30:59,logout,user access,yySthMsH,STATUS success
12:42:02,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
13:24:48,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
13:31:53,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
14:01:35,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
14:32:56,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
14:47:28,logout,user access,BKVwfCEB,STATUS success
15:19:46,upload of mwciGDBm_bruteforce.vb,file upload,mwciGDBm,STATUS success
15:34:54,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
16:08:13,logout,user access,yySthMsH,STATUS success
16:27:15,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
16:43:13,logout,user access,BKVwfCEB,STATUS success
9:22:21,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
9:40:46,logout,user access,BKVwfCEB,STATUS success
10:21:50,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
11:03:20,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
11:11:55,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
11:34:52,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
11:52:06,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
12:11:08,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
12:23:01,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
13:18:58,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
13:47:23,logout,user access,BKVwfCEB,STATUS success
14:39:21,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
15:12:26,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
15:18:09,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
16:11:37,logout,user access,yySthMsH,STATUS success
16:13:36,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
16:44:09,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
9:39:59,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
9:45:33,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
10:20:17,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
10:29:23,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
11:14:16,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
11:17:06,logout,user access,yySthMsH,STATUS success
11:55:41,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
12:01:26,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
12:11:47,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
12:46:27,logout,user access,BKVwfCEB,STATUS success
13:20:35,logout,user access,BKVwfCEB,STATUS success
13:51:41,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
14:00:34,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
14:33:26,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
14:51:04,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
15:44:59,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
16:42:50,logout,user access,yySthMsH,STATUS success
16:51:42,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
9:59:31,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
10:15:56,logout,user access,BKVwfCEB,STATUS success
10:54:59,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
11:21:37,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
11:38:48,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
12:00:52,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
12:43:06,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
13:01:56,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
13:33:03,logout,user access,BKVwfCEB,STATUS success
14:31:28,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
14:53:29,logout,user access,yySthMsH,STATUS success
15:34:10,logout,user access,yySthMsH,STATUS success
15:35:17,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
15:43:32,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
16:29:27,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
9:18:09,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
10:17:47,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
11:16:15,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
12:11:46,logout,user access,yySthMsH,STATUS success
12:58:34,logout,user access,yySthMsH,STATUS success
13:45:06,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
14:16:41,logout,user access,yySthMsH,STATUS success
14:53:43,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
14:58:02,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
15:30:43,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
15:40:49,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
15:54:35,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
16:21:26,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
16:41:32,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
16:56:39,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
9:06:48,logout,user access,BKVwfCEB,STATUS success
9:09:16,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
9:55:10,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
