time,description,type,user,remarks
09:42:29,login,user access,AHFiJncv,STATUS success
09:58:15,login,user access,nFlbRALT,STATUS failure
10:10:44,login,user access,AHFiJncv,STATUS success
11:03:38,login,user access,nFlbRALT,STATUS failure
11:25:28,logout,user access,IXOMWVbP,STATUS success
12:01:08,login,user access,AHFiJncv,STATUS success
12:07:03,login,user access,AHFiJncv,STATUS success
12:48:15,login,user access,AHFiJncv,STATUS success
13:40:20,login,user access,nFlbRALT,STATUS failure
14:25:47,logout,user access,IXOMWVbP,STATUS success
14:45:12,login,user access,AHFiJncv,STATUS success
14:56:52,logout,user access,IXOMWVbP,STATUS success
15:07,login,user access,nFlbRALT,STATUS failure
15:46:02,login,user access,nFlbRALT,STATUS failure
16:26:59,logout,user access,IXOMWVbP,STATUS success
09:54:46,logout,user access,IXOMWVbP,STATUS success
10:15:13,logout,user access,IXOMWVbP,STATUS success
10:50:10,login,user access,AHFiJncv,STATUS success
10:53:11,login,user access,AHFiJncv,STATUS success
11:20:08,logout,user access,IXOMWVbP,STATUS success
11:29:04,logout,user access,IXOMWVbP,STATUS success
12:14:17,logout,user access,IXOMWVbP,STATUS success
12:22:03,login,user access,nFlbRALT,STATUS failure
13:04:57,login,user access,AHFiJncv,STATUS success
13:24:25,login,user access,nFlbRALT,STATUS failure
13:40:32,login,user access,AHFiJncv,STATUS success
14:37:07,login,user access,AHFiJncv,STATUS success
15:19:50,login,user access,AHFiJncv,STATUS success
15:31:40,logout,user access,IXOMWVbP,STATUS success
16:01:26,login,user access,nFlbRALT,STATUS failure
16:03:21,login,user access,nFlbRALT,STATUS failure
16:07:25,login,user access,AHFiJncv,STATUS success
16:36:30,login,user access,AHFiJncv,STATUS success
09:21:48,login,user access,nFlbRALT,STATUS failure
09:40:48,logout,user access,IXOMWVbP,STATUS success
09:57:50,logout,user access,IXOMWVbP,STATUS success
10:30:47,logout,user access,IXOMWVbP,STATUS success
11:26:25,logout,user access,IXOMWVbP,STATUS success
11:55:22,login,user access,nFlbRALT,STATUS failure
12:32:09,login,user access,nFlbRALT,STATUS failure
13:02:07,logout,user access,IXOMWVbP,STATUS success
13:32:04,logout,user access,IXOMWVbP,STATUS success
14:13:32,login,user access,AHFiJncv,STATUS success
14:45:38,login,user access,AHFiJncv,STATUS success
15:26:15,login,user access,AHFiJncv,STATUS success
15:34:21,login,user access,AHFiJncv,STATUS success
15:35:55,logout,user access,IXOMWVbP,STATUS success
15:44:13,logout,user access,IXOMWVbP,STATUS success
16:01:19,login,user access,nFlbRALT,STATUS failure
16:19:24,logout,user access,IXOMWVbP,STATUS success
09:40:02,logout,user access,IXOMWVbP,STATUS success
09:41:24,login,user access,AHFiJncv,STATUS success
09:46:07,logout,user access,IXOMWVbP,STATUS success
10:45:13,login,user access,AHFiJncv,STATUS success
11:27:18,login,user access,nFlbRALT,STATUS failure
12:25:04,logout,user access,IXOMWVbP,STATUS success
12:44:12,login,user access,nFlbRALT,STATUS failure
12:56:11,login,user access,nFlbRALT,STATUS failure
13:37:41,login,user access,AHFiJncv,STATUS success
13:55:04,logout,user access,IXOMWVbP,STATUS success
14:44:36,login,user access,nFlbRALT,STATUS failure
