time,description,type,subject,remarks
14:11:35,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
14:58:01,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
15:00:25,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
15:26:58,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
16:08:12,login,user access,kcTsrDhT,CATEGORY student STATUS success
16:12:11,logout,user access,YYEiYdfj,CATEGORY student STATUS success
17:11:08,login,user access,pWJxvLVL,CATEGORY student STATUS failure
17:59:29,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
18:06:26,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
19:03:54,"""Mapping the World"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Mapping the World"""
19:42:21,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
20:25:10,login,user access,kcTsrDhT,CATEGORY student STATUS success
20:41:49,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
21:21:22,"""The Economics of Computer Science"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""The Economics of Computer Science"" STATUS success"
7:36:16,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
7:55:34,login,user access,pWJxvLVL,CATEGORY student STATUS failure
8:43:42,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
9:10:41,login,user access,kcTsrDhT,CATEGORY student STATUS success
9:42:29,logout,user access,YYEiYdfj,CATEGORY student STATUS success
10:33:47,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
10:35:33,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
10:52:18,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
11:23:36,"""Physiotherapy for the Elderly""",book retrieval,YYEiYdfj,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Physiotherapy for the Elderly  "" STATUS success"
12:22:40,"""Mapping the World"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Mapping the World"""
12:37:57,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
12:39:08,"""Physiotherapy for the Elderly""",book retrieval,YYEiYdfj,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Physiotherapy for the Elderly  "" STATUS success"
12:41:14,"""Physiotherapy for the Elderly""",book retrieval,YYEiYdfj,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Physiotherapy for the Elderly  "" STATUS success"
13:34:54,login,user access,kcTsrDhT,CATEGORY student STATUS success
14:23:38,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
14:32:55,logout,user access,YYEiYdfj,CATEGORY student STATUS success
15:32:23,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
15:50:50,login,user access,kcTsrDhT,CATEGORY student STATUS success
16:24:26,"""Physiotherapy for the Elderly""",book retrieval,YYEiYdfj,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Physiotherapy for the Elderly  "" STATUS success"
16:39:54,logout,user access,YYEiYdfj,CATEGORY student STATUS success
17:23:10,login,user access,kcTsrDhT,CATEGORY student STATUS success
18:22:11,login,user access,kcTsrDhT,CATEGORY student STATUS success
18:49:48,logout,user access,YYEiYdfj,CATEGORY student STATUS success
19:43:18,logout,user access,YYEiYdfj,CATEGORY student STATUS success
19:51:29,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
20:43:47,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
20:53:08,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
21:48:11,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
7:07:22,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
7:57:30,login,user access,pWJxvLVL,CATEGORY student STATUS failure
8:11:47,"""Physiotherapy for the Elderly""",book retrieval,YYEiYdfj,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Physiotherapy for the Elderly  "" STATUS success"
9:11:40,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
9:35:01,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
10:18:18,login,user access,pWJxvLVL,CATEGORY student STATUS failure
11:13:54,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
11:50:21,"""The Economics of Computer Science"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""The Economics of Computer Science"" STATUS success"
12:12:10,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
12:26:14,login,user access,kcTsrDhT,CATEGORY student STATUS success
13:04:04,logout,user access,YYEiYdfj,CATEGORY student STATUS success
13:42:08,login,user access,pWJxvLVL,CATEGORY student STATUS failure
14:07:03,login,user access,pWJxvLVL,CATEGORY student STATUS failure
14:49:08,login,user access,pWJxvLVL,CATEGORY student STATUS failure
14:58:08,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
15:33:57,login,user access,pWJxvLVL,CATEGORY student STATUS failure
16:00:16,"""The Economics of Computer Science"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""The Economics of Computer Science"" STATUS success"
16:31:23,login,user access,pWJxvLVL,CATEGORY student STATUS failure
17:21:16,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
17:53:02,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
18:42:06,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
19:40:13,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
20:03:37,"""Physiotherapy for the Elderly""",book retrieval,YYEiYdfj,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Physiotherapy for the Elderly  "" STATUS success"
20:22:16,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
21:00:33,login,user access,pWJxvLVL,CATEGORY student STATUS failure
21:53:44,login,user access,pWJxvLVL,CATEGORY student STATUS failure
7:26:28,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
7:54:50,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
8:42:41,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
9:41:15,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
9:48:58,login,user access,kcTsrDhT,CATEGORY student STATUS success
10:28:43,logout,user access,YYEiYdfj,CATEGORY student STATUS success
10:46:11,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
10:49:20,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
11:29:13,"""Physiotherapy for the Elderly""",book retrieval,YYEiYdfj,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Physiotherapy for the Elderly  "" STATUS success"
11:43:01,login,user access,kcTsrDhT,CATEGORY student STATUS success
11:51:52,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
12:14:35,logout,user access,YYEiYdfj,CATEGORY student STATUS success
12:54:48,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
13:40:11,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
14:33:52,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
15:18:47,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
15:48:34,"""Mapping the World"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Mapping the World"""
16:16:46,"""The Economics of Computer Science"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""The Economics of Computer Science"" STATUS success"
16:22:52,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
16:56:05,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
17:07:11,login,user access,kcTsrDhT,CATEGORY student STATUS success
17:29:02,"""Physiotherapy for the Elderly""",book retrieval,YYEiYdfj,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Physiotherapy for the Elderly  "" STATUS success"
18:23:07,logout,user access,YYEiYdfj,CATEGORY student STATUS success
19:00:18,"""Mapping the World"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Mapping the World"""
19:23:03,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
19:27:05,"""Physiotherapy for the Elderly""",book retrieval,YYEiYdfj,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Physiotherapy for the Elderly  "" STATUS success"
20:11:05,"""The Economics of Computer Science"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""The Economics of Computer Science"" STATUS success"
20:17:05,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
20:43:43,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
21:23:10,login,user access,kcTsrDhT,CATEGORY student STATUS success
21:29:52,logout,user access,YYEiYdfj,CATEGORY student STATUS success
7:36:51,login,user access,pWJxvLVL,CATEGORY student STATUS failure
7:51:21,"""The Economics of Computer Science"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""The Economics of Computer Science"" STATUS success"
8:45:41,"""The Economics of Computer Science"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""The Economics of Computer Science"" STATUS success"
9:26:14,login,user access,kcTsrDhT,CATEGORY student STATUS success
10:14:17,logout,user access,YYEiYdfj,CATEGORY student STATUS success
11:09:05,login,user access,pWJxvLVL,CATEGORY student STATUS failure
12:06:06,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
12:45:59,"""Physiotherapy for the Elderly""",book retrieval,YYEiYdfj,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Physiotherapy for the Elderly  "" STATUS success"
13:25:11,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
13:30:56,login,user access,kcTsrDhT,CATEGORY student STATUS success
14:00:38,logout,user access,YYEiYdfj,CATEGORY student STATUS success
14:55:04,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
15:46,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
16:08:59,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
17:08:55,"""The Economics of Computer Science"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""The Economics of Computer Science"" STATUS success"
17:38:06,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
18:18:41,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
18:55:35,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
19:08:48,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
19:12:33,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
19:15:46,login,user access,kcTsrDhT,CATEGORY student STATUS success
20:10:13,logout,user access,YYEiYdfj,CATEGORY student STATUS success
20:32:50,login,user access,pWJxvLVL,CATEGORY student STATUS failure
21:15:40,"""Mapping the World"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Mapping the World"""
7:03:52,"""Mapping the World"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Mapping the World"""
7:46:36,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
8:05:23,"""The Economics of Computer Science"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""The Economics of Computer Science"" STATUS success"
8:15:17,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
8:18:58,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
8:41:30,login,user access,pWJxvLVL,CATEGORY student STATUS failure
9:00:25,login,user access,kcTsrDhT,CATEGORY student STATUS success
9:17:18,login,user access,kcTsrDhT,CATEGORY student STATUS success
9:50:10,logout,user access,YYEiYdfj,CATEGORY student STATUS success
9:57:43,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
10:06:39,logout,user access,YYEiYdfj,CATEGORY student STATUS success
10:33:36,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
10:38:22,"""Physiotherapy for the Elderly""",book retrieval,YYEiYdfj,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Physiotherapy for the Elderly  "" STATUS success"
11:35:47,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
12:12:05,login,user access,pWJxvLVL,CATEGORY student STATUS failure
12:49:47,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
13:10:14,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
13:18:15,login,user access,pWJxvLVL,CATEGORY student STATUS failure
13:55:20,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
14:13,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
14:58:04,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
15:26:53,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
15:59:37,"""Mapping the World"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Mapping the World"""
16:51:11,login,user access,pWJxvLVL,CATEGORY student STATUS failure
17:11:09,login,user access,pWJxvLVL,CATEGORY student STATUS failure
17:12:34,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
18:02:51,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
18:07:07,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
18:21:09,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
18:52:25,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
19:10:13,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
